func,n,k,time_sec
sortedList,100000,2500,0.6984425000264309
sortedList,200000,2500,1.4091986000421457
sortedList,300000,2500,2.15859740000451
sortedList,400000,2500,2.8650189000181854
sortedList,500000,2500,3.7032494000159204
sortedList,600000,2500,4.300243799982127
sortedList,700000,2500,5.142285999958403
sortedList,800000,2500,5.777727699954994
sortedList,900000,2500,6.5374583000084385
sortedList,1000000,2500,7.263502300018445
heaps,100000,2500,0.2956061000004411
heaps,200000,2500,0.6158458999707364
heaps,300000,2500,0.9439550999668427
heaps,400000,2500,1.297017099976074
heaps,500000,2500,1.5964813999598846
heaps,600000,2500,1.923159099998884
heaps,700000,2500,2.2483368000248447
heaps,800000,2500,2.606114499969408
heaps,900000,2500,3.2867439999827184
heaps,1000000,2500,3.328010600002017
heaps+numbpy,100000,2500,3.2245786000275984
heaps+numbpy,200000,2500,0.7928377999924123
heaps+numbpy,300000,2500,1.1890494000399485
heaps+numbpy,400000,2500,1.540435399976559
heaps+numbpy,500000,2500,1.947612299991306
heaps+numbpy,600000,2500,2.761285900021903
heaps+numbpy,700000,2500,2.737481000018306
heaps+numbpy,800000,2500,3.1107514000032097
heaps+numbpy,900000,2500,3.956201000022702
heaps+numbpy,1000000,2500,3.9444895000196993
Bottleneck,100000,2500,0.020341399998869747
Bottleneck,200000,2500,0.04157790000317618
Bottleneck,300000,2500,0.06911410001339391
Bottleneck,400000,2500,0.09873339999467134
Bottleneck,500000,2500,0.1110200000111945
Bottleneck,600000,2500,0.13524309999775141
Bottleneck,700000,2500,0.1530244000023231
Bottleneck,800000,2500,0.18631909997202456
Bottleneck,900000,2500,0.21951810002792627
Bottleneck,1000000,2500,0.2917611000011675
